 	TCGA-A6-2670-01A-02R-0821-07	TCGA-A6-2672-01A-01R-0826-07	TCGA-A6-2674-01A-02R-0821-07	TCGA-A6-2676-01A-01R-0826-07	TCGA-A6-2677-01A-01R-0821-07	TCGA-A6-2678-01A-01R-0821-07	TCGA-A6-2683-01A-01R-0821-07	TCGA-A6-3807-01A-01R-1022-07	TCGA-A6-3808-01A-01R-1022-07	TCGA-A6-3809-01A-01R-1022-07	TCGA-A6-3810-01A-01R-1022-07	TCGA-AA-3514-01A-02R-0821-07	TCGA-AA-3516-01A-02R-0826-07	TCGA-AA-3517-01A-01R-0821-07	TCGA-AA-3518-01A-02R-0826-07	TCGA-AA-3524-01A-02R-0821-07	TCGA-AA-3525-01A-02R-0826-07	TCGA-AA-3526-01A-02R-0821-07	TCGA-AA-3534-01A-01R-0821-07	TCGA-AA-3538-01A-01R-0821-07	TCGA-AA-3543-01A-01R-0826-07	TCGA-AA-3552-01A-01R-0821-07	TCGA-AA-3555-01A-01R-0821-07	TCGA-AA-3558-01A-01R-0821-07	TCGA-AA-3561-01A-01R-0821-07	TCGA-AA-3562-01A-02R-0821-07	TCGA-AA-3666-01A-02R-0905-07	TCGA-AA-3667-01A-01R-0905-07	TCGA-AA-3672-01A-01R-0905-07	TCGA-AA-3675-01A-02R-0905-07	TCGA-AA-3679-01A-02R-0905-07	TCGA-AA-3681-01A-01R-0905-07	TCGA-AA-3685-01A-02R-0905-07	TCGA-AA-3693-01A-01R-0905-07	TCGA-AA-3695-01A-01R-0905-07	TCGA-AA-3696-01A-01R-0905-07	TCGA-AA-3710-01A-01R-1022-07	TCGA-AA-3715-01A-01R-0905-07	TCGA-AA-3811-01A-01R-1022-07	TCGA-AA-3812-01A-01R-0905-07	TCGA-AA-3818-01A-01R-0905-07	TCGA-AA-3821-01A-01R-1022-07	TCGA-AA-3831-01A-01R-0905-07	TCGA-AA-3837-01A-01R-0905-07	TCGA-AA-3842-01A-01R-1022-07	TCGA-AA-3844-01A-01R-1022-07	TCGA-AA-3846-01A-01R-1022-07	TCGA-AA-3848-01A-01R-0905-07	TCGA-AA-3854-01A-01R-0905-07	TCGA-AA-3855-01A-01R-1022-07	TCGA-AA-3856-01A-01R-0905-07	TCGA-AA-3860-01A-02R-0905-07	TCGA-AA-3861-01A-01R-1022-07	TCGA-AA-3862-01A-01R-1022-07	TCGA-AA-3864-01A-01R-1022-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3869-01A-01R-1022-07	TCGA-AA-3877-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3947-01A-01R-1022-07	TCGA-AA-3949-01A-01R-1022-07	TCGA-AA-3950-01A-02R-1022-07	TCGA-AA-3952-01A-01R-1022-07	TCGA-AA-3966-01A-01R-1113-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3975-01A-01R-1022-07	TCGA-AA-3976-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3986-01A-02R-1022-07	TCGA-AA-3989-01A-01R-1022-07	TCGA-AA-3994-01A-01R-1113-07	TCGA-AA-A00D-01A-01R-A002-07	TCGA-AA-A00J-01A-02R-A002-07	TCGA-AA-A00L-01A-01R-A002-07	TCGA-AA-A00O-01A-02R-A00A-07	TCGA-AA-A00Q-01A-01R-A002-07	TCGA-AA-A00U-01A-01R-A002-07	TCGA-AA-A00W-01A-01R-A002-07	TCGA-AA-A010-01A-01R-A00A-07	TCGA-AA-A01D-01A-01R-A00A-07	TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01G-01A-01R-A002-07	TCGA-AA-A024-01A-02R-A00A-07	TCGA-AA-A029-01A-01R-A00A-07	TCGA-AA-A02E-01A-01R-A00A-07	TCGA-AA-A02F-01A-01R-A00A-07	TCGA-AA-A02H-01A-01R-A00A-07	TCGA-AA-A02J-01A-01R-A00A-07	TCGA-AY-4070-01A-01R-1113-07	TCGA-AY-4071-01A-01R-1113-07
TAAR9	1.138896	1.038381	1.323175	-1.389153	0.456028	-1.059685	0.302861	-0.449411	0.031628	-0.705487	-0.447816	3.793786	0.275738	-0.070483	0.321209	-0.339322	0.068324	-0.439040	2.941796	0.685778	0.936269	-2.466106	0.050774	0.129751	1.142087	0.945045	0.779912	0.336366	2.979290	0.053167	-0.339322	0.071515	0.550959	-0.518815	-0.373625	-0.064101	-1.428242	0.244626	-0.879395	-0.854665	-0.413513	-0.216470	-0.961562	-0.043360	-1.289435	0.226278	-0.240402	-0.201313	-0.021023	0.435286	0.515061	-0.405535	-0.516421	0.765552	-0.290660	-0.820362	1.012853	-0.920877	0.792676	0.242233	0.424118	-0.131111	0.005303	-0.023416	-0.090003	-0.159032	-0.293552	-1.479298	-0.406333	-0.001877	-0.280289	-0.358468	2.986470	0.330782	0.105021	-0.742981	-1.364423	0.091459	-1.074842	-1.283851	0.649879	-0.687936	1.031999	-0.182965	0.850911	0.705722	-0.865035	-0.466164	-1.441006	0.331580	-2.235559	-0.366804	
IFNA7	-0.079313	0.804574	0.724221	1.327261	-0.051228	0.849821	-0.169028	-0.918732	0.055650	0.442594	0.998826	3.136381	-0.052008	-3.353516	-1.017028	-0.851641	-0.696395	-0.544270	-1.257308	-0.323493	-1.909496	-0.910931	-1.445319	-1.088800	-2.024955	0.238980	1.182937	-1.767513	-0.675332	-0.867243	-0.489661	0.074373	0.664151	0.657129	0.943437	0.651669	-0.311011	0.424651	0.702377	-0.055129	-0.409307	0.464438	-0.069171	0.243661	1.539456	0.498763	0.327915	-0.273565	0.164088	-1.120005	-0.123000	-0.244700	-0.768167	-2.489132	-0.048888	0.606421	1.148611	1.905337	0.162527	0.668051	0.841240	-0.028604	-0.111298	-0.972561	0.313873	-0.158886	0.171889	-1.472624	0.013523	0.838900	1.677539	0.129762	1.511371	-0.122110	0.569755	1.049535	0.282667	-1.074758	-0.286047	-1.642692	-0.977242	1.494988	0.939536	-0.667530	0.348198	0.294369	0.387205	-0.497462	1.315559	0.311532	0.732802	-0.415441	
LHX5	-2.021743	0.803837	0.369811	0.058406	1.141707	1.221984	0.996150	-1.247201	-0.310339	0.622111	0.503901	2.561114	0.069874	-0.229180	-0.146256	-0.686143	-0.269760	0.473907	-0.032457	-0.043043	0.381279	0.825009	0.977624	-0.099502	1.117889	0.755318	0.333642	-0.814939	-0.872280	0.178381	0.320410	0.127215	-0.333276	-0.811410	0.206610	-0.500005	0.480964	-1.937937	-0.530881	0.411273	-0.780534	0.552420	-0.472658	-0.431196	0.009887	-2.948901	1.147000	-0.880219	-0.752305	-1.440395	-0.523824	-0.038632	0.438620	-1.937055	1.815683	-0.268967	0.729735	-2.940961	-1.104290	0.321292	-0.495595	-0.340333	1.304908	0.246308	2.766659	-0.168311	-1.492443	1.868613	0.875293	0.678570	0.204846	2.682853	-0.449722	-0.587340	-0.383559	-0.593515	-0.078330	0.859414	-0.837875	0.710328	-0.355330	0.458910	-0.398556	-0.226534	-0.492066	-0.478833	0.286005	-0.799060	-0.081858	0.100750	1.049080	-0.380040	
C14orf39	-0.207378	-0.012810	-1.078474	0.220671	-0.303040	0.649937	-0.615970	-0.122254	-1.256828	0.531169	-0.046049	-1.523954	-0.234942	0.763435	-0.181841	-0.652452	-1.442884	3.683168	2.151757	0.427805	-1.250748	0.396188	-1.393836	-0.140901	0.235669	3.634121	0.663313	-0.166843	-0.299392	0.043534	0.159464	0.397404	-0.088610	-0.321281	0.203241	0.071908	0.071097	0.838019	-0.499635	0.045560	-0.527604	0.133927	-1.874581	-0.485448	0.448073	-0.535711	0.090554	-0.348845	0.752085	0.450505	-0.341549	-0.063479	-0.298582	0.077988	0.180542	1.784105	1.437531	0.122577	0.298093	-0.819861	0.203647	-0.430726	-1.022131	0.178515	-1.257234	0.561570	0.191486	-0.288853	0.691282	0.071097	-0.368302	0.737898	-1.003079	0.024887	-0.014431	-0.218322	0.594809	-4.779317	-0.407215	-0.224403	0.107984	0.018807	-0.035104	-0.136442	0.178515	1.729788	0.095013	-0.192380	0.377136	-0.201298	1.149328	-0.160185	
SYT14L	-0.448696	-1.801477	-0.834287	0.095950	0.892035	0.016422	0.656664	-1.505055	-0.516978	1.801386	0.059801	2.902730	-0.275984	0.415669	-0.010890	-1.427936	1.516210	0.656664	-0.585260	0.629351	1.672053	-0.760382	-0.748333	1.135439	-0.182800	-2.036045	-0.365152	0.079081	-0.499305	-0.029367	-0.190029	-0.404514	-0.695314	-0.190029	-0.088008	-0.328199	1.017352	0.998072	-1.288963	0.274286	-1.080101	0.435752	-0.880879	-2.023192	0.230907	1.183638	0.137723	-0.483239	-0.076762	-2.130836	0.169052	-0.528225	0.607662	-0.108895	0.754668	-1.478545	0.511264	-0.231802	1.686512	1.108930	-0.246261	0.614891	-0.444680	0.287139	0.106480	0.003569	-0.503322	-0.773235	-0.400498	0.863115	-0.609359	-0.699330	-1.250404	0.749848	0.214841	-0.004464	1.281642	0.885608	-0.135404	1.253526	0.168249	-0.969244	-1.666521	-0.050253	0.415669	0.210824	-0.370775	-0.650328	4.152687	-0.258311	0.703256	-0.288747	
DEFB127	0.496932	1.109995	0.726830	0.584277	0.740015	-1.297762	0.014062	-1.944609	0.739191	0.312355	-0.431727	3.296917	1.624177	-2.246197	0.487868	0.542252	-0.101299	-0.131788	0.585101	-0.432551	1.297869	-0.489408	1.541776	-1.233489	-1.390875	1.169324	0.492812	-0.553681	1.183332	0.491988	-0.378991	0.302465	-2.211589	-1.551557	-0.338614	-0.059275	-0.645970	0.676566	-0.735787	-0.944261	-0.266925	0.122007	0.961673	-0.195237	1.480799	-0.300710	-1.198881	-0.555329	0.045374	-1.023366	-0.341086	-0.494352	0.217592	-2.288221	0.466443	1.716466	0.354378	1.360494	0.102231	0.692222	-0.378991	0.185456	0.030542	0.009118	-2.411823	-0.651738	0.415355	-0.040323	-0.240557	-0.429255	0.686454	-0.449032	-0.369927	-1.700702	0.312353	-0.796764	-1.586165	-0.012306	0.180512	0.223360	0.737542	0.877624	0.332130	0.432659	-1.235961	0.257145	0.770503	1.475855	0.495284	1.790627	0.028894	-1.090111	
SOX14	-0.935388	-1.153206	0.139135	-0.218114	0.063523	1.233776	0.671888	0.126649	-0.791101	0.207117	-0.001683	0.676744	-0.458824	0.618474	-0.385987	2.179273	0.231396	-1.049847	3.835108	-0.487959	0.217522	-3.099003	-0.235456	-0.143890	0.540087	0.617780	-0.945794	-1.044991	-0.320086	0.775248	-1.712319	-0.473392	-2.231198	-0.053710	-1.090081	-0.102962	0.433953	-0.986028	0.295215	0.118325	-0.207709	0.271630	-0.482410	0.193937	-0.306906	1.254587	0.333368	-0.279159	-0.537211	0.101676	-1.708851	1.058273	0.542862	-0.423446	-0.959667	1.534143	-0.661381	-0.099494	0.162027	0.082253	0.101676	1.217127	1.116543	-0.962442	1.154695	-0.790407	0.207811	-0.241700	1.611836	0.285504	1.367658	1.117930	2.086319	-0.441482	1.244875	1.428702	-0.161232	-0.625309	-1.660293	-0.500446	1.457144	-0.811218	-0.596868	-0.611436	0.411061	-0.774452	0.211279	0.214747	-0.075214	0.297990	-1.615203	-0.593910	
CCDC140	-0.568657	-1.216696	0.387948	0.403665	0.288935	-0.821691	-0.842646	0.052665	0.631029	-1.546740	-0.240708	-0.058397	0.536730	0.223974	0.271123	-2.020328	0.535682	-0.399967	-0.404682	-0.423542	0.462863	0.023852	-1.094108	0.056332	-1.537311	1.289546	1.403228	-0.656144	0.137010	-0.606376	-0.240184	1.118237	-0.340769	0.821721	-0.190415	1.554629	0.294174	1.028130	-0.073066	0.572354	0.609550	0.646221	-0.045300	0.458672	-0.140123	-0.501076	1.373367	0.420953	0.576021	1.012413	0.012850	0.186255	0.271647	1.502765	0.214544	0.920734	-1.287420	-0.043205	-0.486407	0.857869	0.616884	-1.532072	0.283172	0.631553	-4.114800	-0.499504	0.511584	-0.020154	0.631029	0.203019	-1.020765	0.310513	2.980630	0.633648	0.146964	0.785573	-0.411493	0.514203	0.388996	-0.307240	0.355992	-1.287420	-0.118949	0.138437	-1.351857	0.705943	0.393711	1.135525	0.484342	-3.112618	-0.964186	-2.482390	
SYT16	1.469849	-1.647753	-0.409222	-0.500506	0.024767	1.246279	0.775157	-2.484012	1.631531	0.994086	0.239054	-0.629697	-1.030421	-0.358164	-0.213501	1.517038	0.342716	-2.080194	-3.642863	0.287017	-0.728718	-0.027064	0.583305	0.201343	1.562681	-0.303239	0.776705	0.274639	0.160147	0.463397	-0.268427	-0.078895	0.337301	-0.656773	-1.607525	-0.124537	0.667627	0.143901	0.686194	0.410019	0.809196	0.411566	-0.591791	-0.164765	0.624306	0.169430	0.387585	-0.455638	0.133071	-0.689264	-0.194161	0.597230	0.109089	-1.575034	0.285470	-1.147234	-0.044857	-0.724076	0.272318	0.584852	-0.097462	0.263035	-0.368221	0.333433	-2.299896	-0.676113	0.239054	-0.931401	0.431680	0.673816	-0.055687	-0.537639	0.456695	-0.340371	-0.892721	2.815910	0.452567	-0.157802	-0.218916	0.198827	-2.189271	0.746534	2.151389	-1.307369	0.114504	0.701666	1.257109	0.115278	-0.869513	0.888103	0.353546	1.948706	
KIR3DX1	0.144409	-0.757555	-2.726313	-0.161824	-0.138396	-3.630788	0.476580	0.182897	0.749344	-1.038687	-0.200312	3.565681	-0.725760	-0.461363	0.184571	0.742651	0.969397	-0.312430	1.086535	-1.868695	0.305056	0.976927	-0.200312	2.504744	0.002170	-0.404467	-1.371694	0.377012	-0.091541	-0.481444	-0.587705	0.634716	-0.504034	-0.396100	-1.756577	-0.171027	0.412154	0.331830	0.162817	-0.018748	-0.645437	-0.470566	0.252344	0.392073	0.107594	-0.464710	-0.693966	0.100901	0.478253	0.037311	-0.739148	0.287485	0.370319	0.823811	-0.332511	0.012210	0.387053	-0.203659	-0.290676	1.430419	-0.089031	0.768588	-0.356775	0.456499	2.005233	1.944991	-0.499851	-1.733149	0.481600	0.233099	-0.780146	1.195306	-0.104928	-0.244657	-0.739148	-0.037992	0.202978	-2.092931	-0.700659	-0.034645	1.860484	0.096717	-1.053747	0.008863	0.482436	0.561923	0.674041	0.541842	0.387053	1.304077	-1.176742	-0.204152	
DEFB118	-0.732773	-1.466271	0.378324	1.248539	-0.189522	-0.212670	0.743627	-0.310325	0.161313	0.892641	-0.742177	-1.733195	-0.235094	1.703540	-0.938934	-0.261994	-0.676350	-1.427209	2.278619	-1.727408	0.245224	-0.383385	-0.090420	-1.124117	0.504914	0.802943	0.021703	-0.081739	0.128761	-1.726685	0.859366	-0.673457	0.068722	-1.208028	-0.404363	-0.530953	0.436194	0.455725	2.884804	-0.600396	0.217736	-0.908552	0.201099	-0.277773	-0.479593	1.408404	-0.171437	-0.844896	-0.358067	-0.497678	-0.597503	-1.363552	-0.076676	-0.359514	0.736393	0.966425	1.417085	-0.023870	0.910725	-0.708902	-0.949784	0.522275	0.739286	0.695161	-1.724514	0.402196	1.570439	0.000725	0.222076	0.291520	0.148292	-0.500571	1.727411	0.194588	-0.176501	-0.217010	0.159143	-0.271263	-0.345770	0.203992	-1.488696	-0.966422	-0.509252	0.356623	0.375431	-0.363131	-0.671287	-0.032550	-0.267646	-0.415213	1.123396	4.639701	
SRY	0.485392	-0.875832	-0.537640	0.568061	-0.190993	0.767219	2.584063	-1.804922	0.713672	-0.380756	0.289052	0.795402	-0.173144	-0.346937	0.693004	1.657792	-0.514154	0.737157	3.547911	-1.819952	0.012862	-0.188832	-2.147811	0.373601	-1.586975	-1.540944	0.568061	0.019438	-0.385453	-0.701099	1.067834	0.132169	0.521090	-0.349755	-0.423030	-0.378877	1.821251	-0.540458	-0.290572	0.606577	-0.588369	0.320053	-0.045382	0.554909	0.851767	-1.003594	0.663882	-0.234206	-1.211206	-0.230448	0.282477	-1.006412	0.241142	-3.065627	0.898738	0.147200	-0.615612	-0.467183	-0.857044	1.060319	0.390510	-0.363847	0.525787	1.010529	0.050439	0.336963	0.687368	-0.509457	-0.958501	-1.531549	1.004893	0.805735	-0.210721	-0.980108	0.433724	-1.483639	-0.088596	1.877617	-0.772496	-0.590248	0.769098	0.706156	0.819827	1.026500	-0.199367	0.229869	0.554909	1.159898	-0.487850	-1.538125	-1.017685	-0.136508	
GSX2	0.405136	-0.544613	-0.307413	-0.787506	-0.101523	-0.068315	0.506658	-0.544613	-0.075906	-0.129987	0.899461	0.807427	0.770424	2.909969	1.281828	0.344413	-0.463016	0.207786	-0.874796	-0.583514	-0.839690	0.062619	0.488630	-0.733424	2.080717	-3.979270	0.413675	-3.076961	1.075938	0.315949	-0.516149	0.470603	0.564534	0.205888	0.018974	-0.115755	1.311240	0.854867	-0.113858	0.213478	-0.092035	0.174578	-1.556983	-0.096779	-0.342519	-1.497209	-0.644237	0.202093	1.046525	-0.348211	-1.532314	-1.632887	0.464910	-1.822647	0.373826	0.208734	2.005762	-0.848229	-0.723936	0.226762	0.418419	-0.493378	0.862458	0.638541	0.759987	0.539866	-0.366239	-1.036092	0.043643	-0.498122	-1.073095	0.611026	-0.158451	1.448816	1.250517	0.559790	0.433600	0.783707	0.124291	0.374774	-0.252383	-0.308362	0.899461	-0.965881	1.184101	-0.541767	-0.602490	-0.889976	-1.000037	1.945039	-0.371931	-0.238938	
OPN5	0.439410	1.023030	-0.599836	-1.060292	0.093263	-1.696236	-0.037951	-0.423542	-0.244029	-0.211829	-0.142600	4.296131	1.233133	-0.282669	-0.145015	-0.631230	-1.098931	0.383061	-2.626808	0.236552	3.875925	0.924821	0.386281	-0.436422	0.291291	1.013370	-0.691605	-0.511287	-0.402612	-0.541071	-0.711730	-0.061295	0.338786	0.842712	0.941726	-0.929883	1.358712	-0.391343	-0.588566	-0.812354	-0.524166	0.412040	0.074748	-0.983012	-0.432397	-0.993477	-0.801889	-0.697240	0.222867	-0.091080	-0.915393	-0.272204	0.986805	0.355691	0.014374	2.051811	-0.195729	0.505420	1.847343	0.300146	0.516689	-0.387318	-0.254494	-0.422737	1.433576	0.132708	0.525544	0.764627	1.010150	-0.941958	0.741283	-0.213439	-1.485328	-0.799474	1.372397	0.119828	-0.867898	-0.438032	-0.993477	0.486100	-0.800279	0.135123	-0.091080	0.378231	0.325101	0.449875	-1.344454	0.000689	0.097288	-0.921028	-1.389534	-0.402406	
REGL	-0.626536	0.317256	0.221530	0.378828	0.100309	2.907153	-1.069570	-1.439487	-0.268165	0.253759	-0.235454	-0.792494	0.118107	0.240290	-0.415843	-0.640486	0.288875	-0.050737	-1.466425	0.523139	-0.946906	1.939790	0.663602	-0.113271	-0.335510	-1.490477	0.053167	-0.255658	0.076257	-0.395639	-0.222466	-0.207554	-0.489441	-0.204187	-0.747757	-0.239303	1.993666	0.017089	2.907153	-0.271051	-0.274899	0.188819	-0.210440	-0.493290	-0.092106	-0.045926	-0.748720	-0.299913	-0.371106	0.633296	0.106562	-0.227277	3.024044	-0.675121	0.504860	-0.047850	-1.083520	0.456756	-0.179173	-0.270570	1.871482	0.350928	1.156182	-0.161375	2.421306	-0.050256	-0.291940	0.107524	-0.499543	-0.040154	0.144083	-0.282596	-2.089366	1.164360	0.059902	-0.186870	-0.189756	-0.990681	-0.079118	-0.245075	0.155628	0.984452	-0.348017	0.300901	-0.530329	-0.535140	-0.244594	0.750669	-0.674159	-0.138285	2.130280	-3.990420	
HSFY1	0.098718	-1.090941	-0.037453	-0.198467	-0.444127	1.261695	0.779575	-0.413765	-0.913366	1.628806	0.140122	-0.584899	0.245010	-0.948329	0.393143	-1.472773	1.197290	-0.302435	3.467120	-0.770754	0.544035	0.174165	0.274453	0.274453	-3.337769	-1.032976	-0.323597	-0.126701	-0.247231	-0.298755	-0.661265	-0.599620	-0.423885	-0.160743	-0.179145	-0.629063	0.859622	-0.346599	0.590039	-0.252751	0.229369	-0.365001	-0.215028	-0.079777	0.281814	0.035233	1.612245	-0.797437	-0.317157	-2.233677	0.694928	0.432706	0.063755	-0.881164	0.414305	0.371061	1.963714	0.554156	-0.069656	-0.154303	0.168644	1.634327	1.590163	0.649844	-1.053218	0.286414	1.261695	-0.304275	0.451108	0.028792	0.534835	0.140122	0.226609	0.304815	0.743692	-1.729475	-0.948329	-1.178349	0.518273	-1.795720	-0.272073	0.043514	1.286538	-1.046778	1.415348	-0.438607	-0.546256	-3.043344	0.359100	0.544035	1.378545	1.119084	
LOC91948	-0.480695	-0.158428	-1.013135	0.675595	-0.795622	0.069093	-0.488034	0.353996	1.260078	-1.546910	0.962499	-0.125067	0.446072	-1.264009	0.095782	-0.504047	-0.425983	0.466756	-2.936725	-2.309540	-1.089198	0.826386	1.092606	0.325305	-0.818974	0.991856	0.199868	-0.245166	0.287941	-0.166435	-0.032324	-1.030482	-0.891034	-0.047670	0.830390	-0.016978	0.368007	0.609540	0.312628	-0.126402	0.601534	0.777012	0.566171	0.233896	0.935810	3.118948	0.245906	-0.143082	-0.179112	-0.441996	-0.672186	-0.385282	0.724969	0.006375	1.057244	-0.334574	0.137150	-1.403458	3.425869	0.091112	2.012033	-0.113057	-0.582779	0.403370	0.879764	1.304115	0.370009	-0.540744	-1.280689	0.805702	-0.696206	-0.054342	0.734310	-0.790951	0.143155	0.861082	-0.140413	0.966502	-0.338577	-0.549418	-0.790284	0.215881	-1.215302	-0.784946	-0.961759	1.426883	0.045741	-1.024478	0.715628	0.694277	-0.629484	-3.108868	
DSC1	0.486309	-0.989787	-0.209230	-0.917488	0.830397	1.139005	0.520450	0.710569	-0.555995	-2.881599	0.737346	1.139674	-3.022180	-1.383412	-0.841173	-0.304289	0.221215	-0.185800	0.600782	0.666386	-0.632980	1.252808	-0.348471	-0.016434	-1.596961	0.166321	-0.430142	-0.066641	-0.364538	-0.446878	0.630906	-0.410059	0.020385	-0.057269	1.171807	-0.408720	0.428069	-1.098904	0.114775	0.199123	0.628229	-0.523193	0.448152	-0.078021	0.037121	0.179710	0.124147	-0.041872	-0.117518	0.779520	0.039799	0.143560	-0.755486	0.650320	-0.506457	1.228039	-0.675154	0.588732	0.872571	1.936967	0.156280	-0.406398	0.936167	1.372636	1.010474	2.226830	0.158288	-2.189407	0.397275	-0.092749	0.628898	0.114775	-4.273347	0.422713	0.253347	0.115444	-0.190486	-1.279650	-0.187808	1.333140	-0.280859	1.120930	0.156280	0.316943	0.033774	0.378531	0.105403	-0.826445	0.592079	1.167790	-2.276433	0.179040	
PCDHA9	2.659917	0.124664	0.217119	-0.416199	0.851098	0.965346	-0.008735	0.044096	-1.077253	-0.502050	-0.249779	1.694421	-1.725760	-0.164588	0.658263	-0.275535	-0.417519	-0.694885	1.501586	-0.147418	-0.517899	-1.345373	-1.209992	0.571092	1.185257	-0.096568	0.351179	-0.568089	0.772511	0.606092	0.394105	-0.410915	-0.066850	-0.437992	0.170231	-0.361386	0.118060	-0.251100	-0.309215	-0.257704	0.678735	-0.812435	-0.622242	0.319480	-0.286101	-0.682337	-0.887720	2.099243	-0.041095	1.150256	-0.704791	0.147778	-1.001968	0.347877	0.079097	0.538731	1.387998	-0.231288	0.331368	0.843173	-0.204872	-0.577995	-2.054637	-0.162607	0.200610	-0.465728	-0.059586	1.914332	-0.826964	-0.725923	-0.865927	3.056814	-1.842650	-0.850738	-2.337946	-0.410255	0.606092	-0.544315	0.289763	-0.829605	-0.579976	0.761284	-0.183740	-0.633468	0.081078	1.903106	0.652319	2.432081	1.654137	-2.213131	-1.093763	-0.113780	
TDRD6	0.484060	-0.438591	-0.396746	-0.456427	-0.730135	0.543741	-0.048265	-1.225417	-0.656049	0.563634	0.082072	-0.592252	0.835971	3.850880	-0.332949	0.473084	0.805102	-0.431045	5.933533	-0.550407	0.733759	-0.446823	-0.894772	-1.490894	0.027879	0.887420	-0.526397	-0.795990	-0.083936	0.264545	0.202120	0.066295	-0.282186	0.531393	-0.132641	0.107454	0.840087	-0.254061	-0.131955	0.323539	-0.443393	-0.558639	-0.071589	-0.333635	-0.385084	-0.879680	-0.281500	0.285124	0.460737	-2.217353	0.453877	-0.168313	-0.888598	-1.294016	-0.909178	-1.120461	0.652813	0.549229	0.285810	-0.120294	0.617827	-0.511306	-1.451793	-0.730135	0.835971	0.115686	0.929265	-0.071589	-0.234167	0.073154	-0.205356	-1.235707	-0.758947	0.318737	-0.466031	0.054633	-0.252003	0.130777	-0.385084	0.380476	0.072468	-0.608030	-0.294534	-0.332263	0.628117	-0.380282	0.595190	-0.014652	0.289926	0.259057	0.359211	2.596897	
TSPYL3	1.644187	-0.068098	0.903678	0.820513	1.453933	-0.227593	1.313806	-0.014554	0.500385	-0.401569	0.319245	-1.964942	1.492668	1.408364	0.023041	0.487853	-0.593290	0.277093	-0.005440	0.481018	0.394435	-1.633421	-2.496969	1.352541	-1.069495	1.478997	-0.490758	0.110763	-0.520379	0.035573	0.170004	-0.070377	1.270515	-0.717468	0.381904	0.320384	-2.770388	-1.379370	-0.125061	0.540259	-0.317593	-0.870127	-0.654810	0.053801	-0.152402	1.080261	-2.354564	0.308992	-0.021389	0.066333	1.224945	2.127227	1.229502	1.417478	-0.399619	1.052919	-0.628607	-0.505568	-0.560252	0.271397	-0.137592	-0.003161	-0.115947	-0.549999	-0.479366	1.158869	0.623424	-0.730000	-0.528353	0.154055	-0.023668	-1.469370	-3.128111	-0.445188	0.630259	-0.621771	-1.345192	0.928741	0.542537	-0.595569	0.260004	0.157472	1.334313	-1.611776	-0.453163	-0.441771	0.020763	-0.024807	0.998235	0.531145	1.133806	-0.768734	
C12orf63	-0.123172	-1.202165	-0.514615	-0.150321	0.179880	1.083355	0.914782	0.174829	-0.940151	-0.774735	0.263220	0.902155	0.107905	6.684773	0.207660	0.094647	0.601628	0.316885	-0.041727	-0.368140	-0.262703	-0.603636	-0.709073	-0.122541	1.089669	-0.258114	-0.918053	-0.519034	-0.580908	-0.657302	-0.601111	0.114219	0.493666	-0.142113	-1.166177	0.481670	1.774693	-1.719248	0.182406	-0.015210	-0.310054	0.077600	-0.601742	-0.832820	0.767676	0.533441	0.156520	-0.022786	0.009413	0.129371	-1.287398	0.517657	-0.035413	0.721586	0.768307	-1.125139	-1.425035	0.769570	-0.012684	0.648980	0.035299	1.148385	0.061185	0.474094	-0.253956	-0.133905	-0.490623	0.111062	-0.102969	-0.626365	0.412852	0.162202	2.467294	-0.190096	-0.918053	-0.495043	0.068928	0.529653	-0.476733	-0.594166	-0.522823	0.263851	-1.221737	-0.253864	-0.349199	0.057397	-0.484941	-0.355512	1.606120	-1.130190	-1.318335	-0.204652	
HOXD4	-0.455551	0.575154	-0.093116	0.330883	-0.083186	-0.117940	-0.260928	0.517562	1.107387	-1.356176	-0.417818	0.697290	-1.255886	-0.361218	0.964399	1.883891	0.269319	-0.062334	-3.031320	2.266185	-0.776280	0.482100	2.144050	0.244495	-0.004741	-0.861676	-0.590595	0.028027	0.001217	-1.633215	0.228607	-0.567756	-0.294689	-0.476403	-1.448522	-0.743512	0.831341	0.403370	-1.839753	0.857158	0.312017	0.662536	0.197825	-0.117940	0.582105	-0.254970	0.639697	0.915744	0.257403	0.246481	-1.351211	0.935603	-1.614349	-0.619391	-0.268872	0.233572	0.884962	0.249460	-0.023608	-0.496262	0.076682	0.447061	-1.499164	-0.392993	1.399321	-0.884514	-0.610454	-2.041327	0.830348	-0.504206	0.839285	0.855172	3.309799	-0.389021	-0.443635	0.078668	-0.159645	-0.148722	-0.188441	0.876025	-1.333338	1.959357	-1.107933	-1.151624	1.320876	-0.900402	-0.040488	1.731967	-0.466473	-0.469452	-0.471438	1.008090	
